avg_width,avg_height,avg_area,mean_R,mean_G,mean_B,texture_contrast,texture_homogeneity,texture_entropy,varietas
42.89784335981839,44.164585698070375,14744.715096481272,158.92907959866045,152.2093183434639,134.76343058442512,22.782472111956487,0.49842040192688375,10.466737636321938,beras basmati
41.54929577464789,39.030985915492955,17505.094366197183,161.17880779819643,153.88466622181278,135.51509066686089,16.340210666635162,0.5323596600347972,10.24113925699792,beras basmati
41.094609460946096,37.503850385038504,13633.807480748075,164.25783653063849,157.78843401268685,140.68568195507368,16.25655777596627,0.562077504169379,9.966141462634857,beras basmati
38.95933926302414,37.45997458703939,14369.881829733164,159.5612847714317,151.9732114151602,132.43389655244812,17.51206663266807,0.5338989234278683,10.237733761009036,beras basmati
40.17888888888889,41.91111111111111,13343.714444444444,161.85714515358612,153.1933966922031,132.01044971904656,20.253831652437135,0.5232987943760405,10.27465049848326,beras basmati
37.18705763397371,42.75631951466127,12013.064711830131,160.26462276654487,151.78501444462816,131.32490415629985,28.99678826418096,0.4822067120671603,10.62684395748545,beras basmati
41.028768699654776,38.93440736478711,15543.098964326813,160.36368033903375,152.24838568239795,132.24910192665027,20.310184829665687,0.5010898859701777,10.35797618920585,beras basmati
38.354594594594595,43.68324324324324,11775.691891891893,163.47037629191337,154.60572611567775,135.43310829829616,21.251141053510388,0.5452993363222228,10.09450896273604,beras basmati
36.758507135016465,40.329308452250274,12007.641053787047,162.5165101148484,154.6433530105715,135.97975906701413,17.40704122232199,0.5619829523755103,9.943619363769905,beras basmati
35.702517162471395,43.78260869565217,14546.172768878718,160.59282888020175,151.1161387635687,129.69951408900752,21.297473339319186,0.5157511115461254,10.212996059071235,beras basmati
36.74185136897001,43.29465449804433,15162.561929595828,163.40303309305975,155.83660469878538,137.7247349412373,15.953967253044127,0.5915214665192119,9.92168945565918,beras basmati
41.53938730853392,44.659737417943106,16595.647702407,161.81544879718862,154.00049594973018,135.8260658285305,22.869373083476418,0.5178692168600314,10.174893718107487,beras basmati
42.67243510506798,45.9406674907293,15579.128553770086,159.48846094668576,152.1942085669144,134.47042566544363,19.567619726934772,0.5744081417288209,10.034377694851207,beras basmati
43.48787584869059,41.024248302618815,12270.189136760428,160.54519113297323,151.92727000136475,131.54557923188565,18.055518554179862,0.5437526897962808,10.04166520996921,beras basmati
39.60699588477366,46.45987654320987,15940.406378600823,161.34386236168848,152.2597561931794,131.61570645812336,22.18242810411186,0.5530719647951529,10.124570541975796,beras basmati
39.104413347685686,35.61571582346609,15891.599569429494,162.02189871897832,154.0996493167097,136.05837558788946,19.488945531349604,0.5248489770704093,10.167937835173847,beras basmati
40.050663449939684,42.66948130277443,14747.750301568154,169.11288117677626,162.12651663674728,145.38372041524943,13.576707133537063,0.6063069040602462,9.765310162530973,beras basmati
41.574074074074076,44.85679012345679,17043.37037037037,161.8823094148925,153.91692682088265,135.37408035648673,17.577917103135224,0.569129976183452,9.969887908354089,beras basmati
41.275590551181104,40.813273340832396,13178.032620922384,159.30430194357834,151.5922648573318,134.11579790577497,20.072366814737805,0.5387623324309375,10.211515407571161,beras basmati
39.07393939393939,40.78060606060606,16759.574545454547,159.05170983323885,151.4838634672619,133.68067513463717,17.92947299867681,0.554320030229067,10.015151730294994,beras basmati
36.567021276595746,39.456382978723404,13326.254255319149,151.0414586745192,151.03262967030946,146.850887837774,18.512376755063034,0.5454811582590935,10.06061187796657,beras basmati
45.57259713701431,47.0879345603272,12228.193251533743,161.01590352576216,153.8867734545593,136.78886287346728,19.68669885047966,0.5467160025869273,10.137023642808554,beras basmati
42.62211055276382,46.54773869346734,11626.858291457287,159.24427791950112,152.7744027443153,137.11626178731524,20.462222826058422,0.5538180380767553,10.060549267527133,beras basmati
36.945882352941176,41.42,14140.750588235294,163.57820348915027,156.56497917454018,139.8123454001585,16.378438092350187,0.60538239048825,9.799162007783162,beras basmati
37.226027397260275,41.853881278538815,12498.076484018266,164.29156504905202,156.8749001047178,139.52296541687662,15.096474728798789,0.5837185152744077,9.81622590626711,beras basmati
44.76454668470907,44.617050067659,15020.489851150203,168.44735247976504,161.58079313901484,145.52157779103152,13.702682870479764,0.6173397666865178,9.684168570114851,beras basmati
46.65686274509804,45.67745098039216,10970.398039215686,160.41149565053644,151.74008551626667,132.42421458359578,19.179274208580775,0.5340315868578427,10.184302076091848,beras basmati
42.51800232288037,40.78861788617886,13880.994192799071,163.73964878196648,155.79228309765264,136.8150805461073,15.48653510913683,0.5530112199108372,9.945276876752045,beras basmati
37.67967698519516,38.796769851951545,19037.438761776582,160.95192256590136,154.99547149589,133.74988247131412,20.133170576506053,0.5452146333807607,10.105963909502531,beras basmati
36.22727272727273,39.5,11269.718568665377,163.7359633185836,155.96346604807044,130.27556736911586,20.87435489619269,0.5209420786153893,10.178877459821596,beras basmati
37.65073170731707,41.8,12322.863414634146,165.94511352959393,159.78967860292263,135.98361914210128,22.593911296462572,0.5234205798583824,10.181691310652534,beras basmati
36.198300283286116,35.65533522190746,12150.680830972615,165.15007642235133,158.25385293970982,133.64238940657282,18.75019854396715,0.5423381832408902,10.051100636259795,beras basmati
39.47126436781609,39.55632183908046,16501.68735632184,158.33160919653355,152.43971221301018,129.34441933119697,21.938625629433602,0.5251330722448281,10.25411750534268,beras basmati
41.004288164665525,36.55831903945111,10273.536020583191,164.87365871309942,157.645342304553,131.31304614341877,21.180257493475942,0.5158212489945154,10.17311440574675,beras basmati
